target_id,source_id,pb-mtl_rmse,predicted_rmse,spearman,meta_rmse,pb0_rmse,pgmtl_improvement
nhdhr_91689905,nhdhr120020343,2.11336175,1.585772944,0.6651393481,0.3571313483,2.498963255,0.3856015051
nhdhr_120020246,nhdhr120020343,2.02078279,1.239185709,0.3983073532,0.3928811158,2.411253063,0.390470273
nhdhr_120018361,nhdhr120020343,1.527743268,0.0249393268,0.2907337427,0.5464017726,1.925731525,0.3979882563
nhdhr_91692261,nhdhr34131191,2.729808678,1.952964822,0.5392969611,0.5603550665,3.133240501,0.4034318226
nhdhr_68838259,nhdhr120018071,2.109660462,2.640774573,0.784081247,3.944365663,2.517200431,0.407539969
nhdhr_120020225,nhdhr151949699,2.040277594,1.33344902,0.5719689813,0.4862315625,2.448196863,0.4079192688
nhdhr_120020350,nhdhr120020199,2.368437084,2.365220947,0.8515155094,0.3941628588,2.79283129,0.4243942058
nhdhr_69886650,nhdhr120019294,5.724227595,0.7483706837,-0.3331483231,2.162826851,6.148816122,0.4245885266
nhdhr_120018005,nhdhr120020343,1.523171959,1.032137973,0.5205951819,0.4870596576,1.948758751,0.4255867923
nhdhr_69546677,nhdhr121860894,1.76848056,1.670388483,0.4324437097,0.7989021039,2.194346049,0.4258654896
nhdhr_120018017,nhdhr126212479,2.235402186,0.398605187,0.2592859392,0.5883711611,2.677831612,0.4424294261
nhdhr_91597015,nhdhr143249864,2.930453661,2.44863468,0.7558730909,0.6769109419,3.374819852,0.4443661916
nhdhr_120019864,nhdhr141288680,2.551903599,1.995591263,0.9626161234,0.8006394951,3.006499523,0.4545959237
nhdhr_45365491,nhdhr80005045,1.935368471,2.470820961,0.9634978744,0.6884302323,2.414909179,0.4795407076
nhdhr_{4F6A1C28-CFA9-45C9-B597-E2E6526275B8},nhdhr34131191,2.738948191,2.07988116,0.6070382617,0.5035077847,3.224098792,0.4851506011
nhdhr_34127844,nhdhr47726570,2.584242463,2.202323118,0.9220201543,0.9233747496,3.071575566,0.4873331027
nhdhr_121859022,nhdhr47726570,4.574933109,2.087207689,-0.01382459455,1.53783235,5.064236421,0.4893033112
nhdhr_143250615,nhdhr75474779,2.424618486,2.203438728,0.519622894,1.178623916,2.921473616,0.4968551293
nhdhr_120018073,nhdhr81002103,2.404174732,1.817615175,0.8101755629,0.7036451572,2.904476361,0.5003016289
nhdhr_120020366,nhdhr120018089,2.081792773,2.074145084,0.8041410801,0.5830700347,2.589344786,0.5075520131
nhdhr_76155937,nhdhr47726570,1.844984656,2.740762714,0.8024877972,0.9723865408,2.358347437,0.5133627812
nhdhr_122851099,nhdhr120018133,3.102892769,1.819476717,-0.3708471107,2.296408121,3.61937329,0.516480521
nhdhr_120020235,nhdhr120020343,1.633999272,1.356975049,0.7557746812,0.5215545706,2.160210217,0.5262109455
nhdhr_91594459,nhdhr91595845,1.869209841,1.940933504,0.538403401,0.7034526706,2.395855849,0.5266460077
nhdhr_45338945,nhdhr120018089,2.351952545,1.799866072,0.382711384,0.6920065684,2.878711507,0.5267589621
nhdhr_166867869,nhdhr141288680,3.10163924,1.721268229,0.9584120611,1.084733376,3.628584005,0.5269447644
nhdhr_77358322,nhdhr126212479,2.259705789,-0.3707598567,0.2071957172,0.9596376454,2.7989393,0.5392335112
nhdhr_34129232,nhdhr34129366,1.836677927,1.7032138,0.5704298536,0.9725157481,2.37685241,0.5401744834
nhdhr_86275565,nhdhr120018379,1.505195206,1.189648025,0.3966540702,0.583415225,2.054289708,0.5490945017
nhdhr_139269433,nhdhr143249413,1.582301383,2.364687728,0.9618918281,0.7300012842,2.136935254,0.5546338703
nhdhr_34126801,nhdhr34129366,1.704552655,1.852770366,0.5298811211,1.215796732,2.272570135,0.5680174792
nhdhr_91692247,nhdhr47726570,1.756653481,2.679503961,0.9669579594,0.8675167339,2.329012141,0.5723586606
nhdhr_120018055,nhdhr143249413,2.526724684,2.204029082,0.9179145017,0.7931060669,3.101115159,0.5743904748
nhdhr_120018423,nhdhr120020343,1.586268709,1.134970552,0.5305542434,0.6014670576,2.163285999,0.5770172906
